word,Count
covidzero,3170
atlant,880
murder,9253
deathcult,3526
plaguespread,10663
matter,8622
voiceoffranky,15133
cap,2008
econom,4378
purchas,11236
polici,10764
ensur,4660
import,6882
clean,2589
said,12220
tvo,14493
org,10024
article,794
having,6334
hate,6321
freedomofspeech,5550
oppon,9995
maximeberni,8644
beg,1242
opec,9972
strang,13392
prefer,10938
hostil,6617
regim,11619
alli,430
run,12128
oilprice,9875
energy,4621
crude,3282
bonokoski,1558
ideolog,6780
revolut,11883
party,10313
max,8639
bernier,1298
torontosun,14214
madmax,8407
votesplt,15165
weak,15289
communist,2812
china,2432
terryglavin,13867
mute,9271
polmtl,10801
montreal,9115
polqc,10803
enfin,4628
altern,457
vs,15183
dinosaur,3859
politiqu,10793
pro,11034
coderr,2707
plant,10675
eliasmakos,4496
westernstandardonline,15364
the,13898
derekfrom,3714
jasonkenney,7334
raheemkassam,11386
orangeshirtday,10016
event,4824
list,8191
resourc,11807
across,157
tkzqi,14136
truthbeforereconcili,14443
record,11554
admiss,202
climb,2647
trib,14349
al,360
mnmtu,9037
beyondarrog,1329
add,185
vanpoli,14976
picnic,10598
calgarian,1886
gather,5725
defianc,3605
report,11734
rebelne,11514
ws,15641
dcebz,3503
yyc,15829
nightmar,9540
end,4590
calgaryherald,1888
yeg,15720
abhealth,46
tell,13808
haul,6327
water,15269
white,15418
supremaci,13576
leslynlewis,8053
wlll,15534
authoritarian,948
forc,5407
recal,11521
cspotweet,3304
account,139
temporarili,13817
unavail,14604
violat,15092
learn,7990
establish,4777
unmark,14753
grave,6051
forgotten,5446
cemeteri,2274
lack,7853
headston,6356
usual,14897
provid,11147
decay,3542
marker,8555
laid,7863
organ,10025
suggest,13515
hidden,6469
wrong,15634
ident,6777
lean,7987
populist,10834
skpoli,12861
supriyadwivedi,13580
citi,2531
toronto,14207
ndtr,9404
idlenomor,6787
everychildmatt,4834
sixtiesscoop,12836
residentialschool,11785
mmiw,9024
explore,4928
enjoy,4640
readpassage,11489
catastroph,2090
cpcnonsens,3189
coronaviruscanada,3063
settler,12564
paid,10203
donat,4086
onedayspay,9914
click,2607
link,8179
encourag,4587
wear,15302
orang,10013
suppos,13571
elev,4490
relationship,11658
stellar,13294
jam,7303
gawwwd,5732
genocid,5765
apologist,684
safe,12208
deadli,3508
plagu,10662
teamplague,13772
erin,4747
toole,14190
vax,14995
fellow,5152
longcovid,8264
robertfife,11987
theglobeandmail,13930
articl,793
thestar,13990
side,12752
melissa,8743
lantsman,7898
went,15354
door,4107
knock,7774
anti,626
roman,12030
baber,1028
pressprogress,10974
star,13237
conservat,2941
advoc,222
fine,5232
jail,7300
minimum,8924
chocol,2454
bar,1105
depend,3693
circumst,2527
clown,2669
car,2027
roll,12023
bluejay,1501
raptor,11436
tfc,13879
tdsb,13766
torontostar,14213
profession,11063
sfu,12588
continuing,3001
stu,13442
pick,10594
seat,12455
damag,3426
neglig,9426
makeitmakesens,8448
carlboucherkne,2050
mr,9179
pollievr,10797
return,11854
due,4257
effort,4431
jackass,7283
rhetor,11898
nois,9587
found,5477
bench,1277
river,11965
sat,12301
everyth,4838
wors,15601
clear,2596
democrat,3664
expand,4903
even,4823
social,12977
secur,12476
medicar,8726
fiscal,5271
insan,7070
manchin,8478
fishmanlevine,5277
lemm,8037
guess,6169
incom,6930
epiphani,4712
sheep,12640
lobbyist,8236
huffpost,6674
archive,740
ent,4661
help,6427
desper,3734
continu,2999
will,15473
thumb,14072
nose,9650
farandwide,5060
husband,6712
loos,8287
sand,12266
sacrif,12191
scam,12337
bennyjohnson,1287
caucu,2111
respect,11809
perform,10467
urban,14871
area,745
domin,4081
daycar,3493
reson,11804
global,5887
lilley,8164
unleash,14745
travel,14314
elit,4502
athlet,875
kqzfkb,7802
scath,12351
massiv,8609
packag,10196
critic,3259
sake,12230
tomoro,14177
email,4529
appeal,691
cc,2169
republican,11757
huawei,6665
goodby,5958
five,5282
eye,4966
intellig,7116
partnership,10311
bind,1382
kingdom,7731
zealand,15851
terry,13865
wing,15491
involv,7179
compani,2818
arrang,778
sale,12235
tech,13779
uae,14538
rais,11393
red,11567
flag,5297
arab,728
emir,4552
troubl,14377
human,6685
discrimin,3920
move,9169
except,4867
believ,1262
fulli,5632
enter,4664
common,2803
resum,11834
unbeliev,14609
disagr,3889
ol,9886
liabil,8091
infect,7011
kill,7710
employe,4569
extend,4941
relat,11657
held,6412
observ,9796
shame,12613
kevinctv,7676
repeat,11723
creat,3225
toler,14167
harass,6276
conduct,2889
ahs_media,317
contradict,3006
backward,1046
punish,11229
might,8861
abandon,28
pivot,10644
alexpiersonamp,400
close,2659
nineti,9553
youngest,15775
thirti,14021
ancient,549
histori,6508
truthandreconcili,14440
size,12838
attent,897
cdpq,2253
asset,843
fossil,5471
sector,12473
emit,4554
albertandp,387
ye,15712
background,1039
boil,1537
becom,1230
complac,2832
skip,12858
part,10296
process,11045
backfir,1038
spectacularli,13109
sabrin,12183
recommend,11546
age,278
coronav,3058
total,14220
comsense_energ,2864
ru,12100
smarter,12928
maritim,8549
mbpoli,8664
nhljet,9517
oiler,9873
flame,5299
mdrelichman,8685
high,6474
there,13976
term,13845
data,3460
necessarili,9412
react,11478
adult,212
rd,11472
condit,2885
focu,5362
homeless,6558
top,14193
set,12561
foot,5398
floor,5332
committe,2799
room,12041
unless,14746
valid,14949
exempt,4883
gray_mackenzie,6058
presser,10972
ask,824
union,14725
tone,14183
slipperi,12904
danger,3438
slope,12908
decis,3554
fight,5204
appropri,710
commit,2797
trudeaumustgo,14403
privileg,11032
cowardli,3175
firearm,5246
cat,2086
captainmarvel,2022
pnpcbc,10728
delight,3639
announc,610
edit,4400
exclus,4873
content,2990
nou,9680
somm,13033
ravi,11452
annonc,607
notr,9677
nouvel,9683
parut,10315
avec,975
contenu,2992
exclusif,4874
voici,15134
un,14591
aperçu,676
opencanada,9975
glanc,5871
hilari,6485
ha,6207
hi,6466
crime,3248
around,773
inject,7046
site,12827
vancouv,14959
near,9407
yaletown,15702
west,15358
evid,4843
man,8475
rip,11949
godspe,5936
curiou,3353
curryb,3361
html,6662
dean_winnipeg,3519
dislik,3946
concept,2872
decid,3553
reduc,11587
citizen,2532
confid,2894
institut,7097
civil,2547
manag,8476
grossest,6135
incompet,6932
possibl,10858
drvolts,4238
winnipeg,15498
starlight,13241
meaning,8689
indigenouslivesmatt,6975
thetorontosun,13993
binnion,1386
krjxq,7810
train,14275
doctor,4051
answer,620
rare,11437
prepar,10960
follow,5377
lead,7970
er,4729
promis,11095
midweekexchang,8859
propos,11115
trail,14272
improv,6894
scotiabankview,12405
thinbluelin,14011
badg,1052
uniform,14713
sight,12766
germani,5800
tonn,14187
wind,15485
turbin,14471
blade,1431
stopthesethings,13374
out,10090
hypocrit,6741
climatebarki,2622
investig,7171
collus,2751
simpl,12796
secondli,12462
place,10656
advocaci,223
movement,9170
understand,14659
captur,2025
activ,163
activist,164
silenc,12778
role,12021
zealous,15854
ksduy,7816
intern,7132
graduat,6021
sidelin,12755
shortag,12702
inclusion_ca,6927
violent,15094
imposit,6887
ought,10074
landback,7882
careless,2041
effect,4423
suppress,13573
ab,25
dead,3507
measur,8696
clariti,2570
regard,11615
ctvpp,3320
advanc,213
cvdhlp,3384
unlock,14750
congratul,2910
old,9887
joke,7459
voter,15161
got,5976
mug,9222
so,12970
cal,1880
jab,7278
workplac,15581
happi,6270
byproduct,1847
dr,4165
ego,4435
tv,14488
three,14053
pardon,10268
throw,14063
firebonni,5247
accord,136
trudi,14416
lib,8095
clue,2672
summer,13526
shift,12662
briefli,1687
pre,10915
mode,9052
speed,13116
hundr,6701
non,9606
fiberglass,5192
pictur,10599
pile,10610
landfil,7884
nocabontax,9576
less,8054
investor,7174
condo,2886
rent,11714
suppli,13562
competit,2828
vanr,14977
extrem,4959
wearamask,15303
socialmurd,12987
fn,5357
vote,15150
ctv_powerplay,3312
road,11980
ahead,306
speak,13099
federal,5134
victori,15063
cdnmsm,2232
amplifi,520
misinform,8968
dishonesti,3940
brief,1686
submit,13474
billc,1368
affirm,240
gender,5753
minor,8935
thoughtfults,14043
eh,4441
nari,9322
mention,8776
finger,5234
ya,15697
normal,9636
portag,10841
developer,3770
no,9569
nobodi,9575
tyranni,14532
sweden,13631
pretti,10986
disturb,3996
kennysnodesanti,7657
blackmail,1428
briberi,1679
someon,13026
fraud,5531
holiday,6547
twenty,14503
four,5480
bottom,1592
half,6224
state,13254
rate,11441
tue,14459
montana,9107
alabama,361
texa,13876
arizona,763
colorado,2759
none,9609
treatment,14327
asshol,846
lfpress,8082
base,1127
thetyee,13996
analysis,535
lock,8244
covidsk,3162
moeresign,9067
mikeggibbs,8874
american,488
dysfunct,4301
root,12043
constitut,2968
fundamentalist,5641
blind,1460
pollut,10799
is,7219
notic,9665
mikelayton,8876
wongtam,15561
rubiconcapital,12104
masonf,8603
fyi,5670
loyalistday,8321
june,7527
juli,7522
nd,9399
british,1700
columbia,2762
confus,2906
juneteenth,7529
britain,1698
commonwealth,2807
abolish,67
slaveri,12880
emancip,4530
august,921
themoreyouknow,13949
heritagemississauga,6447
celebrating,2265
lo,8229
wall,15220
niqab,9555
citizenship,2535
notwithstand,9679
claus,2584
overrul,10154
scc,12352
objection,9789
bill,1365
premierofdeath,10953
cbcfletch,2129
hawaii,6336
vermont,15030
eight,4447
idiot,6783
ok,9880
prioriti,11020
exampl,4863
realiti,11497
dismiss,3952
fantasi,5057
nonsens,9617
endless,4602
financialpost,5229
economy,4384
marc,8526
miller,8899
complain,2833
spokesperson,13151
abl,56
contrari,3007
januari,7326
suspect,13609
illicit,6827
drug,4229
aspphysician,829
strateg,13396
researchco,11773
exi,4888
neglect,9425
inact,6901
failur,5008
sask,12292
toward,14237
winter,15502
miseri,8963
alwaysli,468
guardianus,6163
chrt,2493
owe,10178
